Country/Territory,"IMF
(2026)","World Bank
(2024)","United Nations
(2024)"
American Samoa,—N/a,871 (2022),—N/a
Dominica,791,689,689
Saint Martin,—N/a,649 (2021),—N/a
Tonga,616,591 (2023),648
Micronesia,519,471,471
Anguilla,—N/a,—N/a,456
Cook Islands,—N/a,—N/a,414
Palau,362,277 (2023),310
Kiribati,343,308,343
Marshall Islands,332,290,281
Nauru,183,163,187
Montserrat,—N/a,—N/a,81
Tuvalu,61,62 (2023),56
